"Vehicle Reg No","Trip ID",State,"Route Description",Deviation,"Time Period",Direction,Origin,"Origin Code",Destination,"Destination Code",Mapper,Company,"Date Mapped","Start Coordinate","End Coordinate",Distance,"Start Time","Travel Time",Revenue,"On/Off Discrepancy",Fares,"Number Of Stops","Total Passengers","GPS Loss (km)",Mode,"Geometry (WKT)"
8356BT,43405896,Mapped,KN001,,PM,R,,,,,Bob,Kinshasa,2025-11-24,"-4.343344, 15.330139","-4.390540, 15.374655",5.61,13:35:00,0:16,28500,0,1500.00,8,19,2.88,"Esprit de Mort","LINESTRING (15.330139 -4.343344, 15.330223 -4.343508, 15.330296 -4.343653, 15.330371 -4.343788, 15.330450 -4.343935, 15.330540 -4.344102, 15.330589 -4.344194, 15.330640 -4.344289, 15.330690 -4.344387, 15.330740 -4.344485, 15.330791 -4.344582, 15.330847 -4.344683, 15.330902 -4.344780, 15.330953 -4.344875, 15.330999 -4.344968, 15.331045 -4.345057, 15.331126 -4.345213, 15.331195 -4.345350, 15.331266 -4.345480, 15.331337 -4.345606, 15.331382 -4.345713, 15.331364 -4.345816, 15.334020 -4.350633, 15.334119 -4.350718, 15.334123 -4.350887, 15.334076 -4.351020, 15.334150 -4.351140, 15.334218 -4.351222, 15.334274 -4.351306, 15.334310 -4.351394, 15.334364 -4.351486, 15.334419 -4.351568, 15.334472 -4.351655, 15.334516 -4.351755, 15.334555 -4.351889, 15.334593 -4.351999, 15.334621 -4.352096, 15.334647 -4.352191, 15.334739 -4.352236, 15.334814 -4.352335, 15.334833 -4.352431, 15.334865 -4.352548, 15.334878 -4.352644, 15.334897 -4.352740, 15.334954 -4.352837, 15.335021 -4.352973, 15.335092 -4.353116, 15.335186 -4.353276, 15.335230 -4.353362, 15.335276 -4.353455, 15.335323 -4.353557, 15.335375 -4.353660, 15.335430 -4.353767, 15.335496 -4.353880, 15.335566 -4.354003, 15.335635 -4.354126, 15.335702 -4.354247, 15.335774 -4.354366, 15.335844 -4.354486, 15.335920 -4.354617, 15.335992 -4.354743, 15.336058 -4.354869, 15.336123 -4.354995, 15.336185 -4.355116, 15.336246 -4.355237, 15.336308 -4.355353, 15.336359 -4.355455, 15.336404 -4.355547, 15.336447 -4.355638, 15.336522 -4.355800, 15.336603 -4.355933, 15.336658 -4.356020, 15.336705 -4.356122, 15.336768 -4.356230, 15.336829 -4.356328, 15.336895 -4.356453, 15.336967 -4.356594, 15.337051 -4.356728, 15.337138 -4.356878, 15.337184 -4.356963, 15.337226 -4.357053, 15.337276 -4.357141, 15.337326 -4.357227, 15.337379 -4.357319, 15.337429 -4.357416, 15.337481 -4.357510, 15.337531 -4.357611, 15.337587 -4.357715, 15.337646 -4.357822, 15.337708 -4.357930, 15.337769 -4.358035, 15.337828 -4.358142, 15.337888 -4.358252, 15.337948 -4.358358, 15.338005 -4.358465, 15.338061 -4.358570, 15.338122 -4.358689, 15.338174 -4.358794, 15.338223 -4.358892, 15.338275 -4.358987, 15.338326 -4.359076, 15.338377 -4.359161, 15.338425 -4.359246, 15.338477 -4.359329, 15.338525 -4.359412, 15.338607 -4.359573, 15.338680 -4.359737, 15.338759 -4.359907, 15.338804 -4.359996, 15.338846 -4.360084, 15.338891 -4.360175, 15.338935 -4.360262, 15.338984 -4.360351, 15.339033 -4.360437, 15.339082 -4.360526, 15.339129 -4.360611, 15.339174 -4.360697, 15.339217 -4.360792, 15.339259 -4.360880, 15.339341 -4.361047, 15.339414 -4.361204, 15.339485 -4.361358, 15.339554 -4.361497, 15.339624 -4.361645, 15.339707 -4.361807, 15.339793 -4.361970, 15.339838 -4.362054, 15.339888 -4.362141, 15.339937 -4.362230, 15.339989 -4.362325, 15.340043 -4.362422, 15.340094 -4.362518, 15.340145 -4.362614, 15.340199 -4.362712, 15.340248 -4.362809, 15.340297 -4.362910, 15.340347 -4.363012, 15.340396 -4.363111, 15.340445 -4.363211, 15.340492 -4.363308, 15.340537 -4.363406, 15.340582 -4.363504, 15.340629 -4.363598, 15.340681 -4.363695, 15.340726 -4.363790, 15.340797 -4.363951, 15.340862 -4.364095, 15.340925 -4.364214, 15.340982 -4.364334, 15.341043 -4.364429, 15.359023 -4.384628, 15.359130 -4.384653, 15.359232 -4.384670, 15.359357 -4.384685, 15.359468 -4.384722, 15.359565 -4.384758, 15.359665 -4.384775, 15.359825 -4.384843, 15.359992 -4.384887, 15.360125 -4.384932, 15.360249 -4.384993, 15.360378 -4.385023, 15.360507 -4.385083, 15.360612 -4.385120, 15.360758 -4.385200, 15.360865 -4.385242, 15.360990 -4.385278, 15.361125 -4.385338, 15.361255 -4.385382, 15.361393 -4.385425, 15.361524 -4.385473, 15.361643 -4.385525, 15.368240 -4.387573, 15.368103 -4.388043, 15.368185 -4.388110, 15.368294 -4.388117, 15.368392 -4.388155, 15.368498 -4.388188, 15.368610 -4.388247, 15.368711 -4.388290, 15.368834 -4.388340, 15.368985 -4.388402, 15.369140 -4.388478, 15.369295 -4.388538, 15.369447 -4.388588, 15.369594 -4.388635, 15.369740 -4.388673, 15.369882 -4.388710, 15.370007 -4.388758, 15.370075 -4.388825, 15.370170 -4.388834, 15.370265 -4.388850, 15.370383 -4.388895, 15.370513 -4.388950, 15.370648 -4.389009, 15.370833 -4.389080, 15.370930 -4.389113, 15.371067 -4.389148, 15.371199 -4.389184, 15.371335 -4.389235, 15.371469 -4.389280, 15.371607 -4.389330, 15.371730 -4.389377, 15.371855 -4.389430, 15.371966 -4.389480, 15.372075 -4.389528, 15.372180 -4.389573, 15.372287 -4.389615, 15.372392 -4.389660, 15.372503 -4.389697, 15.372617 -4.389732, 15.372730 -4.389768, 15.372835 -4.389805, 15.372947 -4.389847, 15.373055 -4.389890, 15.373161 -4.389935, 15.373270 -4.389978, 15.373385 -4.390020, 15.373497 -4.390065, 15.373607 -4.390112, 15.373713 -4.390158, 15.373816 -4.390203, 15.373915 -4.390244, 15.374008 -4.390282, 15.374170 -4.390352, 15.374327 -4.390410, 15.374455 -4.390457, 15.374555 -4.390497, 15.374655 -4.390540)"
7826BT,43405897,Mapped,KN002,,PM,R,,,,,Bob,Kinshasa,2025-11-24,"-4.392188, 15.379318","-4.353118, 15.507062",8.67,14:07:02,0:31,48000,0,2000.00,8,24,6.24,"Esprit de Mort","LINESTRING (15.379318 -4.392188, 15.379411 -4.392222, 15.379502 -4.392261, 15.379594 -4.392298, 15.379686 -4.392335, 15.379780 -4.392375, 15.379873 -4.392414, 15.379972 -4.392456, 15.380074 -4.392503, 15.380176 -4.392552, 15.380277 -4.392597, 15.380375 -4.392641, 15.380480 -4.392684, 15.380583 -4.392727, 15.380689 -4.392771, 15.380792 -4.392818, 15.380898 -4.392860, 15.380995 -4.392898, 15.381091 -4.392931, 15.381260 -4.392984, 15.381401 -4.393029, 15.381520 -4.393056, 15.381621 -4.393086, 15.381708 -4.393124, 15.381823 -4.393184, 15.381930 -4.393223, 15.382035 -4.393250, 15.382150 -4.393282, 15.382288 -4.393330, 15.382394 -4.393368, 15.382507 -4.393427, 15.382642 -4.393484, 15.382794 -4.393542, 15.382966 -4.393612, 15.383147 -4.393682, 15.383247 -4.393718, 15.383339 -4.393759, 15.383427 -4.393800, 15.383516 -4.393839, 15.383608 -4.393878, 15.383701 -4.393918, 15.383800 -4.393962, 15.383893 -4.394001, 15.383982 -4.394041, 15.384073 -4.394075, 15.384168 -4.394108, 15.384266 -4.394139, 15.384362 -4.394167, 15.384460 -4.394201, 15.384555 -4.394226, 15.384727 -4.394282, 15.384892 -4.394350, 15.385067 -4.394424, 15.385224 -4.394488, 15.385374 -4.394535, 15.385507 -4.394576, 15.385620 -4.394609, 15.385725 -4.394650, 15.385853 -4.394701, 15.385993 -4.394750, 15.386127 -4.394799, 15.386275 -4.394845, 15.386436 -4.394900, 15.386606 -4.394964, 15.386772 -4.395031, 15.386947 -4.395106, 15.387039 -4.395141, 15.387135 -4.395182, 15.387239 -4.395226, 15.387338 -4.395276, 15.387440 -4.395317, 15.387550 -4.395359, 15.387662 -4.395395, 15.387788 -4.395436, 15.387904 -4.395478, 15.388008 -4.395526, 15.388114 -4.395565, 15.388230 -4.395609, 15.388342 -4.395652, 15.388457 -4.395695, 15.388566 -4.395733, 15.388663 -4.395770, 15.388756 -4.395809, 15.388927 -4.395879, 15.389080 -4.395948, 15.389216 -4.395997, 15.389345 -4.396032, 15.389476 -4.396066, 15.389592 -4.396105, 15.389691 -4.396150, 15.389804 -4.396186, 15.389901 -4.396224, 15.390018 -4.396272, 15.390123 -4.396318, 15.390230 -4.396366, 15.390357 -4.396420, 15.390484 -4.396462, 15.390606 -4.396513, 15.390738 -4.396572, 15.390880 -4.396648, 15.391016 -4.396727, 15.391161 -4.396793, 15.391318 -4.396859, 15.391477 -4.396930, 15.391623 -4.396982, 15.391751 -4.397035, 15.391873 -4.397097, 15.392019 -4.397147, 15.392162 -4.397189, 15.411690 -4.404572, 15.411828 -4.404661, 15.411970 -4.404693, 15.412105 -4.404738, 15.412203 -4.404768, 15.412363 -4.404827, 15.412487 -4.404874, 15.478860 -4.377999, 15.478868 -4.377898, 15.478938 -4.377798, 15.479036 -4.377723, 15.479145 -4.377644, 15.479247 -4.377553, 15.479366 -4.377464, 15.479454 -4.377390, 15.479552 -4.377314, 15.479641 -4.377237, 15.479723 -4.377160, 15.479823 -4.377070, 15.479928 -4.376987, 15.480005 -4.376929, 15.480083 -4.376857, 15.480160 -4.376788, 15.480257 -4.376749, 15.480345 -4.376703, 15.480406 -4.376616, 15.480480 -4.376552, 15.480578 -4.376530, 15.480659 -4.376472, 15.494478 -4.365453, 15.494593 -4.365427, 15.494743 -4.365361, 15.494860 -4.365313, 15.494948 -4.365261, 15.495064 -4.365193, 15.495145 -4.365130, 15.495051 -4.365024, 15.495131 -4.364936, 15.495249 -4.364859, 15.495334 -4.364808, 15.495440 -4.364727, 15.495543 -4.364656, 15.495635 -4.364579, 15.497387 -4.363003, 15.497533 -4.362964, 15.497670 -4.362922, 15.497803 -4.362875, 15.497907 -4.362829, 15.498004 -4.362775, 15.498096 -4.362709, 15.498263 -4.362617, 15.498417 -4.362531, 15.498542 -4.362442, 15.498669 -4.362333, 15.498875 -4.362165, 15.498959 -4.362024, 15.499026 -4.361908, 15.499138 -4.361792, 15.499246 -4.361699, 15.499349 -4.361612, 15.499484 -4.361528, 15.499613 -4.361451, 15.499724 -4.361372, 15.499813 -4.361298, 15.499901 -4.361226, 15.499985 -4.361155, 15.500073 -4.361079, 15.500151 -4.361010, 15.500229 -4.360942, 15.500307 -4.360880, 15.500457 -4.360762, 15.500543 -4.360693, 15.500632 -4.360624, 15.500726 -4.360558, 15.500810 -4.360494, 15.500883 -4.360434, 15.501020 -4.360316, 15.501150 -4.360204, 15.501270 -4.360100, 15.501402 -4.359997, 15.501533 -4.359899, 15.501658 -4.359795, 15.501771 -4.359701, 15.501876 -4.359614, 15.501993 -4.359522, 15.504992 -4.356950, 15.504905 -4.356992, 15.505003 -4.356872, 15.505054 -4.356789, 15.505124 -4.356673, 15.505213 -4.356504, 15.505305 -4.356339, 15.505419 -4.356156, 15.505527 -4.355980, 15.505630 -4.355814, 15.505697 -4.355719, 15.505811 -4.355522, 15.505880 -4.355415, 15.505946 -4.355328, 15.506051 -4.355190, 15.506126 -4.355078, 15.506187 -4.354959, 15.506226 -4.354850, 15.506309 -4.354801, 15.506384 -4.354701, 15.506431 -4.354592, 15.506477 -4.354456, 15.506517 -4.354334, 15.506550 -4.354175, 15.506608 -4.354012, 15.506675 -4.353873, 15.506736 -4.353740, 15.507062 -4.353118)"
2624AC10,43405898,Mapped,KN003,,PM,R,,,,,Bob,Kinshasa,2025-11-24,"-4.353905, 15.507242","-4.353905, 15.507242",0,14:41:20,0:00,6000,0,1000.00,1,6,0,Taxi,"LINESTRING (15.507242 -4.353905, 15.507269 -4.353943)"
55Z43BQ01,43405899,Mapped,KN002,,PM,R,,,,,Bob,Kinshasa,2025-11-24,"-4.354527, 15.507803","-4.354527, 15.507803",0,15:30:30,0:00,4000,0,1000.00,1,4,0,Taxi,"LINESTRING (15.507803 -4.354527)"
